"cod_proposta","cod_cliente","data_nascimento","endereco","cod_colaborador","valor_financiamento","status_proposta"
886,138,"1964-11-08","Condomínio Ribeiro, 83 Santa Rita 43035840 Moreira do Oeste / ES",4,25261.08,Enviada
886,138,"1964-11-08","Condomínio Ribeiro, 83 Santa Rita 43035840 Moreira do Oeste / ES",4,25261.08,Enviada
886,138,"1964-11-08","Condomínio Ribeiro, 83 Santa Rita 43035840 Moreira do Oeste / ES",4,25261.08,Enviada
1045,934,"1957-12-13",Jardim Bruno da Mata Palmares 47723-078 Silva / RN,4,239033.98,Enviada
1045,934,"1957-12-13",Jardim Bruno da Mata Palmares 47723-078 Silva / RN,4,239033.98,Enviada
1045,934,"1957-12-13",Jardim Bruno da Mata Palmares 47723-078 Silva / RN,4,239033.98,Enviada
1566,648,"1989-03-05","Loteamento Cunha, 14 Serrano 79284-464 Teixeira da Prata / MA",4,30167.01,Enviada
1566,648,"1989-03-05","Loteamento Cunha, 14 Serrano 79284-464 Teixeira da Prata / MA",4,30167.01,Enviada
1566,648,"1989-03-05","Loteamento Cunha, 14 Serrano 79284-464 Teixeira da Prata / MA",4,30167.01,Enviada
1573,395,"1983-04-18","Campo Monteiro, 57 Floresta 48388-235 da Rosa / TO",4,167117.9,Enviada
1573,395,"1983-04-18","Campo Monteiro, 57 Floresta 48388-235 da Rosa / TO",4,167117.9,Enviada
1573,395,"1983-04-18","Campo Monteiro, 57 Floresta 48388-235 da Rosa / TO",4,167117.9,Enviada
23,358,"1974-03-28","Praça Gonçalves, 8 Lindéia 81429425 Porto / PB",5,18727.61,Enviada
23,358,"1974-03-28","Praça Gonçalves, 8 Lindéia 81429425 Porto / PB",5,18727.61,Enviada
23,358,"1974-03-28","Praça Gonçalves, 8 Lindéia 81429425 Porto / PB",5,18727.61,Enviada
352,249,"1956-07-10","Sítio Vitor Hugo Castro, 7 Vista Do Sol 32863094 Cunha / MA",5,33278.95,Enviada
352,249,"1956-07-10","Sítio Vitor Hugo Castro, 7 Vista Do Sol 32863094 Cunha / MA",5,33278.95,Enviada
352,249,"1956-07-10","Sítio Vitor Hugo Castro, 7 Vista Do Sol 32863094 Cunha / MA",5,33278.95,Enviada
1291,928,"1975-01-08","Chácara de Sales, 6 Novo Tupi 64262-820 Lopes de Costa / GO",5,147301.56,Enviada
1291,928,"1975-01-08","Chácara de Sales, 6 Novo Tupi 64262-820 Lopes de Costa / GO",5,147301.56,Enviada
1291,928,"1975-01-08","Chácara de Sales, 6 Novo Tupi 64262-820 Lopes de Costa / GO",5,147301.56,Enviada
308,335,"2002-11-19",Colônia de Peixoto Carlos Prates 71637-087 Jesus dos Dourados / PE,6,177330.72,Enviada
308,335,"2002-11-19",Colônia de Peixoto Carlos Prates 71637-087 Jesus dos Dourados / PE,6,177330.72,Enviada
308,335,"2002-11-19",Colônia de Peixoto Carlos Prates 71637-087 Jesus dos Dourados / PE,6,177330.72,Enviada
1120,114,"1949-03-21","Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",6,9537.71,Enviada
1120,114,"1949-03-21","Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",6,9537.71,Enviada
1120,114,"1949-03-21","Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",6,9537.71,Enviada
1390,806,"1987-05-31","Estação Mariana da Luz, 415 Conjunto Jatoba 02240602 Teixeira / AM",6,124934.78,Enviada
1390,806,"1987-05-31","Estação Mariana da Luz, 415 Conjunto Jatoba 02240602 Teixeira / AM",6,124934.78,Enviada
1390,806,"1987-05-31","Estação Mariana da Luz, 415 Conjunto Jatoba 02240602 Teixeira / AM",6,124934.78,Enviada
1639,827,"1958-09-22","Setor das Neves, 72 Santa Branca 71259-487 Novaes / ES",6,206120.6,Enviada
1639,827,"1958-09-22","Setor das Neves, 72 Santa Branca 71259-487 Novaes / ES",6,206120.6,Enviada
1639,827,"1958-09-22","Setor das Neves, 72 Santa Branca 71259-487 Novaes / ES",6,206120.6,Enviada
72,983,"1974-02-14","Estrada Emanuella Rodrigues, 71 Vila Antena Montanhês 80401-864 Duarte / PR",7,109302.14,Enviada
72,983,"1974-02-14","Estrada Emanuella Rodrigues, 71 Vila Antena Montanhês 80401-864 Duarte / PR",7,109302.14,Enviada
72,983,"1974-02-14","Estrada Emanuella Rodrigues, 71 Vila Antena Montanhês 80401-864 Duarte / PR",7,109302.14,Enviada
1121,572,"1961-12-22","Travessa Elisa Lopes, 37 Vila Nova Gameleira 1ª Seção 80920585 da Paz / MT",8,234345.58,Enviada
1121,572,"1961-12-22","Travessa Elisa Lopes, 37 Vila Nova Gameleira 1ª Seção 80920585 da Paz / MT",8,234345.58,Enviada
1121,572,"1961-12-22","Travessa Elisa Lopes, 37 Vila Nova Gameleira 1ª Seção 80920585 da Paz / MT",8,234345.58,Enviada
1669,65,"1972-04-23","Viaduto de da Costa, 839 Marçola 92964312 Pires / PI",8,116726.64,Enviada
1669,65,"1972-04-23","Viaduto de da Costa, 839 Marçola 92964312 Pires / PI",8,116726.64,Enviada
1669,65,"1972-04-23","Viaduto de da Costa, 839 Marçola 92964312 Pires / PI",8,116726.64,Enviada
906,787,"1986-07-24","Esplanada Araújo, 37 Vila Califórnia 85418025 da Costa de Fogaça / SP",10,183309.6,Enviada
906,787,"1986-07-24","Esplanada Araújo, 37 Vila Califórnia 85418025 da Costa de Fogaça / SP",10,183309.6,Enviada
906,787,"1986-07-24","Esplanada Araújo, 37 Vila Califórnia 85418025 da Costa de Fogaça / SP",10,183309.6,Enviada
1861,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",10,2850.11,Enviada
1861,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",10,2850.11,Enviada
1861,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",10,2850.11,Enviada
1911,127,"1956-03-29","Estrada de Moraes, 50 Vila Madre Gertrudes 4ª Seção 05905-261 Vieira Grande / RO",10,72010.93,Enviada
1911,127,"1956-03-29","Estrada de Moraes, 50 Vila Madre Gertrudes 4ª Seção 05905-261 Vieira Grande / RO",10,72010.93,Enviada
1911,127,"1956-03-29","Estrada de Moraes, 50 Vila Madre Gertrudes 4ª Seção 05905-261 Vieira Grande / RO",10,72010.93,Enviada
1956,336,"1960-02-23","Fazenda Souza, 413 Padre Eustáquio 22283686 Farias do Norte / PR",10,81395.72,Enviada
1956,336,"1960-02-23","Fazenda Souza, 413 Padre Eustáquio 22283686 Farias do Norte / PR",10,81395.72,Enviada
1956,336,"1960-02-23","Fazenda Souza, 413 Padre Eustáquio 22283686 Farias do Norte / PR",10,81395.72,Enviada
487,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,11,20036.49,Enviada
487,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,11,20036.49,Enviada
487,635,"1980-09-26",Jardim Marcela Costa Silveira 07501623 Rocha de Lopes / PA,11,20036.49,Enviada
553,511,"1964-12-27","Vale Vinicius da Cunha, 6 Vila Santo Antônio Barroquinha 48223-320 Gonçalves / ES",11,67689.85,Enviada
553,511,"1964-12-27","Vale Vinicius da Cunha, 6 Vila Santo Antônio Barroquinha 48223-320 Gonçalves / ES",11,67689.85,Enviada
553,511,"1964-12-27","Vale Vinicius da Cunha, 6 Vila Santo Antônio Barroquinha 48223-320 Gonçalves / ES",11,67689.85,Enviada
230,561,"1977-05-30","Sítio da Luz, 56 Vila Independencia 1ª Seção 51453-241 Caldeira da Mata / MG",12,225362.94,Enviada
230,561,"1977-05-30","Sítio da Luz, 56 Vila Independencia 1ª Seção 51453-241 Caldeira da Mata / MG",12,225362.94,Enviada
230,561,"1977-05-30","Sítio da Luz, 56 Vila Independencia 1ª Seção 51453-241 Caldeira da Mata / MG",12,225362.94,Enviada
478,551,"1945-08-25","Fazenda de da Luz, 32 Vila De Sá 46662088 Barros / PB",12,113384.93,Enviada
478,551,"1945-08-25","Fazenda de da Luz, 32 Vila De Sá 46662088 Barros / PB",12,113384.93,Enviada
478,551,"1945-08-25","Fazenda de da Luz, 32 Vila De Sá 46662088 Barros / PB",12,113384.93,Enviada
1222,876,"1984-05-11","Praça Araújo, 3 Campo Alegre 29924502 Gonçalves do Galho / BA",12,77171.78,Enviada
1222,876,"1984-05-11","Praça Araújo, 3 Campo Alegre 29924502 Gonçalves do Galho / BA",12,77171.78,Enviada
1222,876,"1984-05-11","Praça Araújo, 3 Campo Alegre 29924502 Gonçalves do Galho / BA",12,77171.78,Enviada
1413,498,"1968-07-18","Viela Guilherme Peixoto, 460 Vila Atila De Paiva 54579081 Oliveira / PE",12,2118.23,Enviada
1413,498,"1968-07-18","Viela Guilherme Peixoto, 460 Vila Atila De Paiva 54579081 Oliveira / PE",12,2118.23,Enviada
1413,498,"1968-07-18","Viela Guilherme Peixoto, 460 Vila Atila De Paiva 54579081 Oliveira / PE",12,2118.23,Enviada
1728,545,"1961-06-19","Travessa de Martins, 768 Vila Aeroporto Jaraguá 29315-900 Sales do Campo / PB",12,49986.53,Enviada
1728,545,"1961-06-19","Travessa de Martins, 768 Vila Aeroporto Jaraguá 29315-900 Sales do Campo / PB",12,49986.53,Enviada
1728,545,"1961-06-19","Travessa de Martins, 768 Vila Aeroporto Jaraguá 29315-900 Sales do Campo / PB",12,49986.53,Enviada
1875,973,"1944-11-25","Praia Emilly Fernandes, 1 Vila Nova Gameleira 3ª Seção 43249646 Pinto dos Dourados / CE",12,145713.86,Enviada
1875,973,"1944-11-25","Praia Emilly Fernandes, 1 Vila Nova Gameleira 3ª Seção 43249646 Pinto dos Dourados / CE",12,145713.86,Enviada
1875,973,"1944-11-25","Praia Emilly Fernandes, 1 Vila Nova Gameleira 3ª Seção 43249646 Pinto dos Dourados / CE",12,145713.86,Enviada
53,489,"1958-11-23","Rua de da Rosa, 8 Mantiqueira 45168-327 Cardoso / PR",13,90359.89,Enviada
53,489,"1958-11-23","Rua de da Rosa, 8 Mantiqueira 45168-327 Cardoso / PR",13,90359.89,Enviada
53,489,"1958-11-23","Rua de da Rosa, 8 Mantiqueira 45168-327 Cardoso / PR",13,90359.89,Enviada
576,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",13,108072.51,Enviada
576,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",13,108072.51,Enviada
576,905,"2005-09-03","Campo Sabrina Fernandes, 51 Aparecida 7ª Seção 82997893 da Rocha do Campo / AL",13,108072.51,Enviada
673,927,"1957-05-26","Vereda Nogueira, 258 Alta Tensão 1ª Seção 70468-406 Moura do Norte / AM",13,193809.7,Enviada
673,927,"1957-05-26","Vereda Nogueira, 258 Alta Tensão 1ª Seção 70468-406 Moura do Norte / AM",13,193809.7,Enviada
673,927,"1957-05-26","Vereda Nogueira, 258 Alta Tensão 1ª Seção 70468-406 Moura do Norte / AM",13,193809.7,Enviada
875,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",13,185095.88,Enviada
875,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",13,185095.88,Enviada
875,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",13,185095.88,Enviada
1159,332,"1964-01-22",Jardim Campos Vila Vista Alegre 72946-280 Freitas / RR,15,19344.59,Enviada
1159,332,"1964-01-22",Jardim Campos Vila Vista Alegre 72946-280 Freitas / RR,15,19344.59,Enviada
1159,332,"1964-01-22",Jardim Campos Vila Vista Alegre 72946-280 Freitas / RR,15,19344.59,Enviada
1339,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",15,44548.77,Enviada
1339,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",15,44548.77,Enviada
1339,429,"1972-08-13","Praça de Ferreira, 33 Padre Eustáquio 47737-733 Gomes de Goiás / MA",15,44548.77,Enviada
1846,642,"1947-04-24","Campo Sales, 66 Santa Tereza 16101-633 Sales / TO",15,227027.5,Enviada
1846,642,"1947-04-24","Campo Sales, 66 Santa Tereza 16101-633 Sales / TO",15,227027.5,Enviada
1846,642,"1947-04-24","Campo Sales, 66 Santa Tereza 16101-633 Sales / TO",15,227027.5,Enviada
22,355,"1993-12-01","Residencial Novaes, 62 Vila União 94123-530 Silveira / AM",16,42496.51,Enviada
22,355,"1993-12-01","Residencial Novaes, 62 Vila União 94123-530 Silveira / AM",16,42496.51,Enviada
22,355,"1993-12-01","Residencial Novaes, 62 Vila União 94123-530 Silveira / AM",16,42496.51,Enviada
46,575,"2001-10-26","Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",16,78427.34,Enviada
46,575,"2001-10-26","Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",16,78427.34,Enviada
46,575,"2001-10-26","Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",16,78427.34,Enviada
839,174,"1965-09-28","Loteamento da Costa, 6 Braúnas 56159-268 Fernandes da Praia / CE",16,195421.72,Enviada
839,174,"1965-09-28","Loteamento da Costa, 6 Braúnas 56159-268 Fernandes da Praia / CE",16,195421.72,Enviada
839,174,"1965-09-28","Loteamento da Costa, 6 Braúnas 56159-268 Fernandes da Praia / CE",16,195421.72,Enviada
896,705,"1975-08-21","Estação Olivia Moreira, 2 Vila Real 1ª Seção 59820159 Sales Grande / MA",16,216856.25,Enviada
896,705,"1975-08-21","Estação Olivia Moreira, 2 Vila Real 1ª Seção 59820159 Sales Grande / MA",16,216856.25,Enviada
896,705,"1975-08-21","Estação Olivia Moreira, 2 Vila Real 1ª Seção 59820159 Sales Grande / MA",16,216856.25,Enviada
1251,533,"1977-08-22","Trevo Benjamin Dias, 33 Vila Independencia 1ª Seção 46747249 Barbosa Alegre / RN",16,33955.36,Enviada
1251,533,"1977-08-22","Trevo Benjamin Dias, 33 Vila Independencia 1ª Seção 46747249 Barbosa Alegre / RN",16,33955.36,Enviada
1251,533,"1977-08-22","Trevo Benjamin Dias, 33 Vila Independencia 1ª Seção 46747249 Barbosa Alegre / RN",16,33955.36,Enviada
1393,853,"1999-04-22","Feira de Vieira, 1 Planalto 31794137 Rodrigues / RO",16,52975.78,Enviada
1393,853,"1999-04-22","Feira de Vieira, 1 Planalto 31794137 Rodrigues / RO",16,52975.78,Enviada
1393,853,"1999-04-22","Feira de Vieira, 1 Planalto 31794137 Rodrigues / RO",16,52975.78,Enviada
1540,984,"1946-11-01","Vale Lorena Teixeira, 80 Cidade Jardim Taquaril 43753518 Cardoso do Galho / RR",16,170958.4,Enviada
1540,984,"1946-11-01","Vale Lorena Teixeira, 80 Cidade Jardim Taquaril 43753518 Cardoso do Galho / RR",16,170958.4,Enviada
1540,984,"1946-11-01","Vale Lorena Teixeira, 80 Cidade Jardim Taquaril 43753518 Cardoso do Galho / RR",16,170958.4,Enviada
1799,688,"1987-05-22","Morro Otávio Costela, 18 Vila Suzana Primeira Seção 79865617 Nunes Verde / RS",16,208553.81,Enviada
1799,688,"1987-05-22","Morro Otávio Costela, 18 Vila Suzana Primeira Seção 79865617 Nunes Verde / RS",16,208553.81,Enviada
1799,688,"1987-05-22","Morro Otávio Costela, 18 Vila Suzana Primeira Seção 79865617 Nunes Verde / RS",16,208553.81,Enviada
483,28,"2006-08-11",Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,17,18009.22,Enviada
483,28,"2006-08-11",Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,17,18009.22,Enviada
483,28,"2006-08-11",Praia de Duarte Vila Piratininga 81327-166 Fernandes das Pedras / SP,17,18009.22,Enviada
508,857,"1982-10-21","Largo Gustavo Campos, 54 Novo São Lucas 89590255 Barros de Vieira / RJ",17,40141.99,Enviada
508,857,"1982-10-21","Largo Gustavo Campos, 54 Novo São Lucas 89590255 Barros de Vieira / RJ",17,40141.99,Enviada
508,857,"1982-10-21","Largo Gustavo Campos, 54 Novo São Lucas 89590255 Barros de Vieira / RJ",17,40141.99,Enviada
687,2,"1979-10-27","Sítio Melo, 939 Túnel De Ibirité 71965-934 da Mota / TO",17,89576.9,Enviada
687,2,"1979-10-27","Sítio Melo, 939 Túnel De Ibirité 71965-934 da Mota / TO",17,89576.9,Enviada
687,2,"1979-10-27","Sítio Melo, 939 Túnel De Ibirité 71965-934 da Mota / TO",17,89576.9,Enviada
1602,858,"1956-10-19","Viela Nunes, 38 Pousada Santo Antonio 79028676 Jesus de Rodrigues / AL",17,20343.34,Enviada
1602,858,"1956-10-19","Viela Nunes, 38 Pousada Santo Antonio 79028676 Jesus de Rodrigues / AL",17,20343.34,Enviada
1602,858,"1956-10-19","Viela Nunes, 38 Pousada Santo Antonio 79028676 Jesus de Rodrigues / AL",17,20343.34,Enviada
1815,192,"1988-06-30","Praia de Duarte, 51 Vila Paquetá 76244-940 das Neves / ES",17,77305.08,Enviada
1815,192,"1988-06-30","Praia de Duarte, 51 Vila Paquetá 76244-940 das Neves / ES",17,77305.08,Enviada
1815,192,"1988-06-30","Praia de Duarte, 51 Vila Paquetá 76244-940 das Neves / ES",17,77305.08,Enviada
104,921,"1949-06-04","Rua João Felipe da Mata, 7 Piratininga 85495859 Moreira de Rodrigues / AC",18,35071.35,Enviada
104,921,"1949-06-04","Rua João Felipe da Mata, 7 Piratininga 85495859 Moreira de Rodrigues / AC",18,35071.35,Enviada
104,921,"1949-06-04","Rua João Felipe da Mata, 7 Piratininga 85495859 Moreira de Rodrigues / AC",18,35071.35,Enviada
231,189,"2004-08-03","Alameda de Souza, 517 São Jorge 3ª Seção 05667856 Freitas da Prata / MA",18,8762.78,Enviada
231,189,"2004-08-03","Alameda de Souza, 517 São Jorge 3ª Seção 05667856 Freitas da Prata / MA",18,8762.78,Enviada
231,189,"2004-08-03","Alameda de Souza, 517 São Jorge 3ª Seção 05667856 Freitas da Prata / MA",18,8762.78,Enviada
302,448,"1996-03-27","Avenida Nicolas Farias, 138 Tupi A 73590-026 Rezende / SC",18,246916.06,Enviada
302,448,"1996-03-27","Avenida Nicolas Farias, 138 Tupi A 73590-026 Rezende / SC",18,246916.06,Enviada
302,448,"1996-03-27","Avenida Nicolas Farias, 138 Tupi A 73590-026 Rezende / SC",18,246916.06,Enviada
